county_fips,gisjoin,state,county_name,election_year,total_population,median_age,pct_white,pct_black,pct_asian,pct_two_or_more_races,pct_hispanic,pct_non_hispanic_white,pct_hs_or_higher,pct_bachelors_plus,pct_no_hs_diploma,pct_below_poverty,median_household_income,pct_income_under_25k,pct_income_50k_100k,pct_income_over_100k,unemployment_rate,pct_owner_occupied,pct_renter_occupied,median_gross_rent,median_home_value,pct_drive_alone,pct_carpool,pct_public_transit,pct_work_from_home,pct_family_households,pct_married_couple,pct_living_alone,land_area_sqmi,population_density
26001,G2600010,MI,Alcona County,2016,10461,57.4,97.35206959181723,0.24854220437816651,0.41105056877927537,1.3096262307618776,1.3861007551859288,96.13803651658542,88.58746492048644,14.452759588400374,11.412535079513564,14.930015552099535,38160,30.48461693142972,28.252563844761713,7.440176955560024,10.297297297297298,88.41745425296602,11.582545747033983,592,97500,82.1273964131107,8.379715522572665,0.21645021645021645,5.225726654298083,62.71868087673437,52.78503921174341,33.25960184998994,674.655,15.505702914823132
26003,G2600030,MI,Alger County,2016,9396,49.0,85.48318433375904,7.322264793529161,0.2767134951042997,4.129416773094934,1.3516389953171564,84.514687100894,89.38578329882678,18.095238095238095,10.614216701173223,13.053835159599808,41270,28.633847946402565,31.284590736964752,10.195164579085349,7.6190476190476195,86.42586658898922,13.574133411010777,610,118500,72.3047739487828,10.43313310148593,1.8020866266202973,8.662662029718621,64.60821438974658,54.93737256044277,31.25546169531022,915.034,10.268470898349133
26005,G2600050,MI,Allegan County,2016,113666,40.0,94.39938064152868,1.4296271532384355,0.6536695229884046,2.075378741224289,7.08127320394841,88.94480319532666,90.13163059691728,21.419412241907203,9.86836940308272,11.650338574339536,55630,19.49307551607003,36.60593391453072,18.94909375965033,4.730979936871893,81.14830035394446,18.85169964605554,757,144600,86.0369054972205,7.493051266213713,0.2509264978381717,3.9723594811612104,73.15723210680096,60.170558472100154,21.842411573271253,825.253,137.73473104611554
26007,G2600070,MI,Alpena County,2016,28929,47.3,96.8336271561409,0.5945590929517093,0.40098171385115283,1.5417055549794323,1.2962770921912268,96.12153894016386,90.39243498817967,16.775413711583926,9.60756501182033,16.283254533907275,39832,31.85477505919495,27.868981846882402,10.465666929755328,7.847052732786036,76.89029202841357,23.109707971586424,570,92700,82.64252948885976,9.764089121887288,0.61435124508519,3.808977719528178,62.99131807419101,48.29518547750592,31.681136543014997,571.899,50.584106634213384
26009,G2600090,MI,Antrim County,2016,23215,50.0,95.89920310144304,0.34029722162395004,0.2670687055782899,1.7919448632349775,1.9556321343958647,95.1798406202886,90.68825910931174,26.685945633314056,9.31174089068826,12.94863387978142,48825,22.446905802255866,33.00477593740474,15.64881617721776,7.8157844448691005,84.01585204755614,15.984147952443859,699,145100,75.31206657420249,13.389523098260964,0.4587645364344394,7.8416728902165795,69.86078650543644,58.449344578802965,25.424245503505745,475.679,48.80392029078433
26011,G2600110,MI,Arenac County,2016,15327,48.9,96.58119658119658,0.49585698440660275,0.3849416063156521,1.063482742872056,1.8986102955568605,95.03490572192862,86.34692805881323,11.38631192018204,13.653071941186766,19.20705429954253,39240,31.470678538532393,28.9376727049432,9.180227202947497,10.778535980148883,83.06723979121891,16.932760208781087,585,88400,82.82828282828282,8.63016126174021,0.7265638844586213,3.313840155945419,65.91955787534542,53.16241940435984,29.275406816088424,363.178,42.202446183414196
26013,G2600130,MI,Baraga County,2016,8612,43.1,73.62981885740827,18.195541105434277,0.41802136553646074,3.413841151881096,1.4166279609846726,73.1421272642824,83.27623793210837,15.649330426658361,16.723762067891624,15.036519530009526,42810,29.439567859554355,29.74341661039838,11.2424037812289,6.797991502510622,84.23362592842673,15.76637407157326,536,90900,84.40677966101696,7.88135593220339,0.0,3.898305084745763,61.174881836596896,47.83929777177583,34.23362592842673,898.427,9.585642461769291
26015,G2600150,MI,Barry County,2016,59316,42.6,96.30791017600647,0.615348303998921,0.5074516150785623,1.4397464427810371,2.576033447973565,94.83276013217345,91.69016138440598,18.91648843087692,8.309838615594012,9.349906689266698,56883,17.21935427421472,38.074197217604336,18.08994662700149,6.228432812873689,81.18383060635226,18.816169393647737,792,139300,85.6439153636601,7.560547822517447,0.1977833339552935,3.8101279994029182,71.35794907690962,61.04208592177793,23.182255665412548,553.104,107.24203766380282
26017,G2600170,MI,Bay County,2016,106107,42.7,94.58471165898574,1.494717596388551,0.584315832131716,2.5606227675836655,5.042080164362389,90.51994684610818,89.42913596069636,18.11385239773577,10.570864039303641,15.775145668163148,45851,26.122066157295148,31.660337649265678,14.33408061490598,8.153415297833039,77.88580317518415,22.11419682481585,654,94500,85.78080386558314,8.010103228640457,0.630353613002416,2.965077970568856,63.64780161961843,47.499656860502355,30.1322230864254,442.409,239.83915336261242
26019,G2600190,MI,Benzie County,2016,17462,48.6,95.95693505898522,0.42950406597182456,0.3779635780552056,1.7065628221280493,2.2735081892108577,94.13011109838506,91.4520716427089,25.628411100007686,8.547928357291106,11.175583149588023,48694,21.132654484586414,34.56549030548194,14.297670525875297,7.5926592299388265,86.45557260426838,13.544427395731622,734,158100,77.76892430278885,12.96148738379814,1.1553784860557768,5.086321381142098,65.18342865113684,53.22918119681964,29.822848374947693,319.697,54.620468756353674
