county_fips,state,county_name,population_2024,total_votes_2024,dem_margin_2024_pp,p_high_vol,p_high_vol_state_rf,S_persuadability,S_electoral_weight,S_volatility_predicted,S_volatility_predicted_state_rf,S_uncertainty,S_dem_opportunity,S_misfit,DPS,DPS_state_rf,PersuasionScore,PersuasionScore_pooled,state_priority_pct,state_persuasion_pct,old_priority_score,volatility_class,race_entropy_raw,kmeans_cluster_label,new_rank,new_rank_state_rf,persuasion_rank,persuasion_rank_pooled,dps_rank_shift_state_rf,persuasion_rank_shift_pooled,old_rank,rank_change
42101,PA,Philadelphia County,1579706,1442882.0,58.80730371575777,0.748985062813004,0.743978602529222,0.8627023097218316,1.0,0.748985062813004,0.743978602529222,1.0150317806489895e-05,0.3910049795504852,2.2436917930257866e-06,0.7017977460389937,0.7005461309680482,0.8376648786950689,0.8401681088369599,1.0,1.0,0.3963815246074622,Highly Volatile,0.9040960526979568,4,1,1,1,1,0,0,11,10
42091,PA,Montgomery County,867573,1041812.0,22.804882262826688,0.9103542555311898,0.7499040675870396,0.4180079481688599,0.8409032365407161,0.9103542555311898,0.7499040675870396,0.0024684580386808985,0.61664472487983,0.0009909257447565936,0.6195208163882647,0.5794082694022272,0.6896798299709138,0.7699049239429889,0.9848484848484849,0.9545454545454546,0.422443840174069,Highly Volatile,0.6557340955292557,4,2,4,4,2,-2,-2,9,7
42003,PA,Allegheny County,1238177,1441008.0,20.30814540932458,0.5811553959112784,0.8494074867942513,0.5005197604721021,0.9993122518853874,0.5811553959112784,0.8494074867942513,0.002408635913183632,0.7267292970687946,0.0009668664858823701,0.6112088725115266,0.6782718952322697,0.799661746486498,0.6655357010450116,0.9696969696969697,0.9848484848484849,0.4368701722987849,Stable,0.5810251266042415,4,3,2,2,7,1,5,7,4
42017,PA,Bucks County,647461,802056.0,-0.0725635117747458,0.8783174812975116,0.6758960037210809,0.3217917164069486,0.7306281406370978,0.8783174812975116,0.6758960037210809,0.4105246293832898,0.553248615161752,0.44747673844754376,0.6077750037865515,0.5571696343924438,0.601052966121552,0.7022637049097674,0.9545454545454546,0.9090909090909091,0.6504797755849017,Highly Volatile,0.5043364496029676,1,4,5,7,4,-1,-3,1,-3
42045,PA,Delaware County,579222,656344.0,23.73846641395366,0.8676400518384256,0.8666336162203809,0.556325475901303,0.6553359225506261,0.8676400518384256,0.8666336162203809,0.007074780667204905,0.6237124667982173,0.002843496305517019,0.5981448579605555,0.5978932490560444,0.7362321577231727,0.736735375532195,0.9393939393939394,0.9696969696969697,0.3426039051241291,Volatile,0.7367803008748712,4,5,3,3,3,2,0,15,10
42095,PA,Northampton County,318580,356430.0,-1.7742614258059035,0.8442210871258082,0.704627577453507,0.44333552419028743,0.4674843339146937,0.8442210871258082,0.704627577453507,0.9141528723134928,0.6489237340419922,0.3676521092517284,0.5658322167194124,0.5309338393013371,0.5800187532529988,0.6498155080891495,0.9242424242424242,0.8787878787878788,0.46330469325277,Volatile,0.5996984169726355,1,6,7,9,8,-1,-1,5,-1
42077,PA,Lehigh County,378792,379620.0,2.692165850060583,0.8511562125181313,0.7476345929440359,0.5520045192922076,0.4843324032615718,0.8511562125181313,0.7476345929440359,0.5159957506347699,0.5201040931348724,0.2075213017369648,0.5628264581269574,0.5369460532334335,0.6329015271104628,0.6846623368975105,0.9090909090909091,0.9393939393939394,0.4272401872061218,Volatile,0.6994181757902501,0,7,6,5,6,1,1,8,1
42029,PA,Chester County,547840,649928.0,14.457601457392208,0.8878436319442504,0.7438038987672119,0.33708402554830996,0.6518372926731473,0.8878436319442504,0.7438038987672119,0.024027953471826402,0.7071829117914139,0.009661722335721903,0.5587968168073189,0.5227868835130592,0.6191322789389703,0.6911521455274895,0.8939393939393939,0.9242424242424242,0.4023293671857104,Highly Volatile,0.5844714682743328,4,8,8,6,5,0,-1,10,2
42041,PA,Cumberland County,268323,296792.0,-9.442303027035775,0.8319895226548478,0.7034574090941736,0.3690761710834993,0.42144852963330914,0.8319895226548478,0.7034574090941736,0.8267256735965851,0.8525060751751835,0.33030534060300526,0.5534799828151877,0.5213469544250191,0.549359879726289,0.613625936506626,0.8787878787878788,0.8484848484848485,0.4820807738443455,Volatile,0.5006570976135863,1,9,9,11,10,0,-1,4,-5
42043,PA,Dauphin County,289593,299052.0,5.920709441836209,0.7047579557869029,0.5727497493562511,0.6025212948778462,0.4232732321854303,0.7047579557869029,0.5727497493562511,0.36337975198585304,0.6667658857170278,0.14614220847778958,0.534251632486897,0.5012495808792341,0.5428235064439446,0.6088276096592706,0.8636363636363636,0.8181818181818181,0.3845618687772261,Volatile,0.7754259626796781,0,10,11,13,11,-1,-2,12,2
42011,PA,Berks County,433015,419676.0,-12.177012743163772,0.7414366476906367,0.6723105503199932,0.4899977318192676,0.5122642318939636,0.7414366476906367,0.6723105503199932,0.5334174098679832,0.5326068328842314,0.21452794361115582,0.5293164999128904,0.5120349755702295,0.5867207660883045,0.6212838147736262,0.8484848484848485,0.8939393939393939,0.3835608552405246,Volatile,0.5954582685481367,0,11,10,8,9,1,1,13,2
42069,PA,Lackawanna County,216146,233180.0,2.7866883952311454,0.5269502775674311,0.459640106350478,0.4876299677216925,0.3668918288143306,0.5269502775674311,0.459640106350478,0.43174261054619034,0.5363778629929975,0.8199363241333903,0.514907291916662,0.4980797491124237,0.44345050230924477,0.4771055879177213,0.8333333333333334,0.7424242424242424,0.5735878833478495,Highly Volatile,0.4852409930137282,0,12,12,18,15,0,-3,2,-10
42089,PA,Monroe County,167515,171050.0,-0.782227418883366,0.6798531570674922,0.7379527526395175,0.5241246011368295,0.3058074462564754,0.6798531570674922,0.7379527526395175,0.7490489100214534,0.4903981596227846,0.3012506075173336,0.4764023970077141,0.49092729590072043,0.576459388168085,0.5474095903820723,0.8181818181818181,0.8636363636363636,0.4924909192339483,Highly Volatile,0.7304380545324657,0,13,13,10,12,0,2,3,-10
42079,PA,Luzerne County,327675,312300.0,-19.17387127761767,0.5704749051209015,0.5671379865232811,0.5283018095236645,0.4338336060187662,0.5704749051209015,0.5671379865232811,0.42696442128473033,0.57064266098919,0.1717146869944599,0.47594724866378924,0.4751130190143842,0.5241028471472482,0.5257713064460584,0.803030303030303,0.803030303030303,0.3834718576008746,Highly Volatile,0.5372196057882952,0,14,15,14,13,-1,-1,14,0
42071,PA,Lancaster County,557931,578514.0,-15.951904361865047,0.47458744072712306,0.500197862431686,0.37788977909862853,0.6116638664107414,0.47458744072712306,0.500197862431686,0.035951154522414375,0.7216254728543322,0.014456994625067538,0.4580455799940482,0.46444818542018895,0.4974873425931855,0.484682131740904,0.7878787878787878,0.7727272727272727,0.3022509546524168,Stable,0.4933121672695565,1,15,16,16,14,-1,-2,18,3
42049,PA,Erie County,269052,275190.0,-1.0247465387550392,0.33137341611133225,0.5702689721269447,0.4883472803232892,0.403644045365019,0.33137341611133225,0.5702689721269447,0.807767931633318,0.6258542460311687,0.3356424370776448,0.4260282708385118,0.48575215984241493,0.5081323174855494,0.3886845394777432,0.7727272727272727,0.7878787878787878,0.4581305208330078,Moderate,0.4708245316100663,0,16,14,15,20,2,5,6,-10
42133,PA,York County,462924,498420.0,-25.263031178524145,0.3730832529835728,0.5151506753910009,0.38453462632285984,0.5635294754087106,0.3730832529835728,0.5151506753910009,0.06477160728466458,0.7199535250699687,0.02604800260277778,0.42353702963787915,0.45905388523973617,0.494591363128393,0.423557651924679,0.7575757575757576,0.7575757575757576,0.2861822908331591,Moderate,0.4991252473409238,1,17,17,17,18,0,1,20,3
