county_fips,state,county_name,total_population,total_votes,dem_margin,vol_z_abs_sum,misfit_score,p_dem,volatility_class,margin_closeness,norm_volatility,norm_misfit,norm_votes,norm_closeness,priority_score
42017,PA,Bucks County,647461,802056.0,-0.0725635117747458,1.2047162274628411,0.7947376853083551,0.7947376853083551,Highly Volatile,0.9992743648822525,0.3462625023182698,0.831029711257356,0.5553743883003266,1.0,0.6504797755849017
42069,PA,Lackawanna County,216146,233180.0,2.7866883952311454,2.3195526171985392,0.7841286947269047,0.2158713052730952,Highly Volatile,0.9721331160476885,0.4530670314187748,0.8199362248158432,0.16066999197236329,0.9625810986258272,0.5735878833478495
37025,NC,Cabarrus County,236133,120202.0,-7.697043310427453,2.6191988685880445,0.8656092016185843,0.8656092016185843,Highly Volatile,0.9230295668957254,0.48177400319601915,0.9051378178902018,0.08228223561009691,0.8948833713016799,0.5703638885942164
26089,MI,Leelanau County,22734,17685.0,7.752332485156913,2.2566126428413016,0.956328381909162,0.0436716180908381,Highly Volatile,0.9224766751484309,0.4470372010466102,0.9999999999999999,0.011152656231895321,0.8941211144914385,0.5657235472702447
37165,NC,Scotland County,33590,14626.0,-6.926022152331463,3.995190220732571,0.7387375501413226,0.7387375501413226,Highly Volatile,0.9307397784766854,0.613597928002604,0.7724721382791521,0.009030224017551176,0.9055132302473943,0.5605576150244359
26103,MI,Marquette County,67112,39009.0,8.733881924684049,1.5882207570089657,0.9557677072328888,0.0442322927671111,Highly Volatile,0.9126611807531595,0.38300333807067577,0.9994137201959428,0.025947930680628416,0.8805887594051216,0.5473591660213699
26049,MI,Genesee County,403305,223268.0,4.195406417399717,0.0905917255964445,0.8227532667950952,0.1772467332049047,Volatile,0.958045935826003,0.23952617412092259,0.8603247201451629,0.15379272877897354,0.9431594865044219,0.5140191117681953
42089,PA,Monroe County,167515,171050.0,-0.782227418883366,3.40617783019821,0.3745244550107267,0.3745244550107267,Highly Volatile,0.9921777258111664,0.5571688487362738,0.39162600578119067,0.11756220724624307,0.9902160567810387,0.4924909192339483
26073,MI,Isabella County,64565,30835.0,-7.48824387870927,0.4333665938889123,0.8648955485220367,0.8648955485220367,Volatile,0.9251175612129073,0.2723649913074911,0.904391573382799,0.020276547575022324,0.8977620322616342,0.4924289340840295
26055,MI,Grand Traverse County,96166,62772.0,-1.7268845982285086,2.0990717861751764,0.567214633272277,0.567214633272277,Highly Volatile,0.9827311540177149,0.43194433435762036,0.5931160404405441,0.04243546147809815,0.9771923252490893,0.4839096408367646
42041,PA,Cumberland County,268323,296792.0,-9.442303027035775,1.186614211439541,0.5866371632017074,0.5866371632017074,Volatile,0.9055769697296422,0.3445282771755144,0.6134255666652867,0.2048060357836937,0.870821950397231,0.48208077384434556
37127,NC,Nash County,96216,52471.0,-1.7590669131520258,-1.3772423322200362,0.9459140620773904,0.9459140620773904,Very Stable,0.9824093308684797,0.09890345424366825,0.9891100746141351,0.035288297620641784,0.9767486364286313,0.48112035661752106
37107,NC,Lenoir County,54919,27503.0,-6.777442460822456,-0.8058785937231432,0.9353901889671338,0.9353901889671338,Stable,0.9322255753917754,0.15364174193961633,0.9781055928244197,0.017964699213402612,0.9075616580322279,0.476622427197786
42095,PA,Northampton County,318580,356430.0,-1.7742614258059035,0.6161782971627457,0.4570764361567464,0.4570764361567464,Volatile,0.982257385741941,0.289878877705523,0.4779480056484193,0.24618479106288824,0.9765391538164312,0.46330469325277
42049,PA,Erie County,269052,275190.0,-1.0247465387550392,-0.4101111923542104,0.596116034183341,0.596116034183341,Moderate,0.9897525346124496,0.19155739604430572,0.6233373227280605,0.18981787602747852,0.9868725116541568,0.4581305208330078
37139,NC,Pasquotank County,40834,20343.0,-4.856707466941941,0.9738941732655104,0.6504469069480108,0.6504469069480108,Volatile,0.9514329253305805,0.3241490863663544,0.680149400723894,0.01299686179767719,0.9340423088453214,0.45733975330936344
37191,NC,Wayne County,118652,54762.0,-16.365362842847226,-0.0682210097640392,0.8476850252424047,0.8476850252424047,Moderate,0.8363463715715278,0.22431145779886133,0.8863950726612538,0.03687786682726566,0.7753756081768077,0.45318679384714977
26145,MI,Saginaw County,188665,103846.0,-3.271190031392635,-0.1526585025471176,0.684449350037174,0.684449350037174,Moderate,0.9672880996860737,0.21622210339838108,0.7157046817369132,0.07093391874255431,0.9559014063796607,0.4527065624153134
26099,MI,Macomb County,879853,509152.0,-13.686089812079691,1.7302874929860663,0.3047549314423056,0.3047549314423056,Highly Volatile,0.8631391018792032,0.3966137395399687,0.31867021815985097,0.35214820807467856,0.8123140165396157,0.44915153172854616
37093,NC,Hoke County,53835,22767.0,5.925242675802693,-0.0307733076044454,0.7150086558219304,0.2849913441780696,Moderate,0.9407475732419731,0.22789905525430462,0.7476595827977163,0.014678710665794287,0.9193107046222051,0.44281643086661004
37015,NC,Bertie County,17170,9186.0,15.665142608316998,1.8048067432407575,0.6138167212714651,0.3861832787285348,Highly Volatile,0.84334857391683,0.40375289781077284,0.6418463722658083,0.005255777712865936,0.7850293540511386,0.4399072776481281
37155,NC,Robeson County,116902,46770.0,-27.622407526192013,8.028493813378939,0.020744080604116,0.020744080604116,Highly Volatile,0.72377592473808,1.0,0.021689039901020384,0.03133276115317661,0.6201777956744193,0.43729100939843313
42003,PA,Allegheny County,1238177,1441008.0,20.30814540932458,-0.9246999875189305,0.0012043179565918,0.9987956820434082,Stable,0.7969185459067541,0.14225831103597192,0.0012569271249287736,0.9986997587545993,0.7210175375905565,0.4368701722987849
26125,MI,Oakland County,1279825,772145.0,10.584540468435328,1.6943585044585177,0.0189920101431499,0.98100798985685,Highly Volatile,0.8941545953156467,0.3931716392137926,0.019856955146671844,0.5346211781129295,0.8550742335452388,0.4275858717880859
42077,PA,Lehigh County,378792,379620.0,2.692165850060583,1.1202175845550657,0.2579978753173849,0.7420021246826151,Volatile,0.9730783414993942,0.3381672895601572,0.2697778410590742,0.26227475610069173,0.9638842552406657,0.4272401872061218
42091,PA,Montgomery County,867573,1041812.0,22.804882262826688,1.221859118584467,0.0012342290193403,0.9987657709806596,Highly Volatile,0.7719511773717332,0.3479048405398456,0.001288204178716709,0.7217247831948329,0.6865957058436394,0.422443840174069
37007,NC,Anson County,22289,10875.0,-2.501149425287352,4.459291659464573,0.1130846302398036,0.1130846302398036,Highly Volatile,0.9749885057471265,0.6580601792127478,0.1182466367355813,0.006427660030625747,0.966517746721844,0.42189017729974493
26081,MI,Kent County,663150,371947.0,5.36312969320899,1.732490758969382,0.1978542700216448,0.8021457299783552,Highly Volatile,0.9463687030679101,0.3968248187512304,0.20688757220931384,0.2569509828477781,0.927060403386998,0.4204191650670417
37099,NC,Jackson County,43771,21942.0,-9.34281287029441,-0.6049033398341298,0.6844926735374939,0.6844926735374939,Moderate,0.9065718712970559,0.17289574867109678,0.715749983753133,0.014106299231719781,0.872193594121327,0.4087715141718077
26163,MI,Wayne County,1772259,856690.0,28.968705132545033,2.385271496103978,0.0014088931719666,0.9985911068280332,Highly Volatile,0.7103129486745496,0.45936308883054666,0.0014708449675930888,0.5932812080448437,0.6016167568440121,0.4068202912710756
42029,PA,Chester County,547840,649928.0,14.457601457392208,1.9882452361971976,0.012013976735913,0.9879860232640868,Highly Volatile,0.855423985426078,0.4213268324611871,0.012560245964277333,0.44982310752106996,0.8016773953800873,0.4023293671857104
37195,NC,Wilson County,79290,40045.0,0.3970533150205995,-0.1567591481002456,0.4956732367967834,0.5043267632032166,Moderate,0.996029466849794,0.21582924977309376,0.5183074612722819,0.026666740675417737,0.995526347362057,0.40009759489126445
37001,NC,Alamance County,176893,89831.0,-8.14084224822166,-0.6373384125383752,0.5920579551456407,0.5920579551456407,Stable,0.9185915775177834,0.1697883755189351,0.6190939176239002,0.06120986268370071,0.8887648360844884,0.3987654249494785
26021,MI,Berrien County,153288,84488.0,-7.873307451945848,-0.0550776898505169,0.5256016105732028,0.5256016105732028,Moderate,0.9212669254805416,0.22557062560779323,0.5496026166554668,0.05750271808702181,0.8924532655362887,0.3979381744752179
42101,PA,Philadelphia County,1579706,1442882.0,58.80730371575777,1.3596879724312516,5.075158903133925e-06,0.9999949248410968,Highly Volatile,0.4119269628424223,0.3611092407254711,2.9168009397496994e-06,1.0,0.19024011594792978,0.3963815246074622
