county_fips,state,county_name,median_age,pct_black,pct_asian,pct_two_or_more_races,pct_hispanic,pct_hs_or_higher,pct_bachelors_plus,pct_below_poverty,pct_income_under_25k,pct_income_50k_100k,unemployment_rate,pct_owner_occupied,pct_drive_alone,pct_carpool,pct_public_transit,pct_work_from_home,pct_family_households,pct_married_couple,pct_living_alone,pct_senior_65plus,pct_young_adult_18_24,pct_foreign_born,race_entropy_norm,log_total_population,log_population_density,log_median_household_income,log_median_home_value,log_median_gross_rent,volatility_class,vol_quintile_num,vol_binary,vol_z_abs_sum
26001,MI,Alcona County,2.9300401161364054,-0.717205201765609,-0.47830248483867815,-0.7741274010103557,-0.9612474118582542,0.6892570808670335,-0.45339888984390103,-0.31187590318499037,0.30404888503908795,0.6209188336888165,-0.4112520257573491,1.8668101830098973,-0.25438204912875123,0.6232048468505885,-0.434054980728183,0.1393905260216158,-0.8856249309428528,0.3367251976250281,1.2332584159805422,3.287330665742181,-1.2003048720601768,-0.9102869888640212,-1.184150841989011,-1.4209374244990967,-1.5506652309115008,-0.8712532182172733,-0.633049259171348,-0.3381115398896996,Moderate,3,0,-0.220495987368661
26003,MI,Alger County,0.9218509472760957,-0.18611775348597473,-0.6145752908886178,0.11785906992965285,-0.9478391721843038,0.9621170625266467,-0.49405371828105854,-0.7836426633155903,0.0028822118195208947,2.0926938061938962,1.0369216347397752,1.4336929878010316,-0.8733581333268661,1.7851798233555751,0.12694557768837567,-0.47930328828455454,0.37033596195849006,1.2356860799967655,-0.6159997512427747,1.276537588740055,0.27169572793643365,-0.8097374457102791,-0.007501339103110985,-1.5597235649527084,-1.9066594572327593,-0.31059235484101055,-0.40725737066704676,-1.227114078352273,Stable,2,0,-1.313280221611162
26005,MI,Allegan County,-0.5704731139870705,-0.6741429782788186,-0.3694563684336592,0.5859199375018929,0.36772266917482765,0.5436125271420077,0.1259587254204889,-1.2639289068197574,-1.674983061827236,0.6035522373413967,-1.3659995379983356,1.5732297105990312,0.47574780005648154,-0.4025248577597136,-0.1922008409374923,-0.18768697081323465,1.9279122169889076,1.636942775326228,-2.2428055541956993,-0.5995215895527667,-0.21325496756186463,-0.11327906694023836,-0.437480052589128,0.5730921913179459,0.23212873146547183,1.276471934644508,0.7802719257199251,0.7520337826424427,Moderate,3,0,-0.0167720668258219
26007,MI,Alpena County,0.6823421473202782,-0.690350687476475,-0.6598639059598932,-0.3193755182419638,-0.9697595783368747,0.5905526504288832,-0.7657146219336995,1.0545417987082288,1.2105403556624363,-0.5318191079258708,0.6458288440028334,0.6173644800931756,0.1864321754918802,-0.7870434149252317,0.3478717669462676,-0.573332802509368,-1.448706173015918,-0.8777039161984843,1.3609301971305718,0.6193250766003696,-0.5533503147731105,-0.8104274850878944,-1.1237214310185015,-0.592179966439836,-0.6241172968933001,-0.9703402929881707,-0.7935337328780003,-1.4978478514067612,Very Stable,1,0,-1.5930692582548251
26009,MI,Antrim County,1.4192923010304836,-0.7199750442027759,-0.5892223488639026,-0.6846951888874784,-0.8612572865585915,1.1959584327655242,0.8509234533043759,-0.9010592364159875,-1.0871406662902086,1.0583271756597694,-0.7774863056614342,1.4436188843646014,-0.6701882815224242,0.13787517208243363,-0.39190306163731226,0.4882346778817975,0.4806731899380871,1.100313767457449,-0.5500975320230674,1.4835183096647069,-0.6202360791258682,-0.6531620936244288,-1.145564212595564,-0.738053080242094,-0.6206204130247163,0.5270170655861868,0.6535249169714392,-0.15687712149765531,Moderate,3,0,-0.0759580345166324
26011,MI,Arenac County,1.1245122395464024,-0.7119706973276062,-0.6548017375409527,-0.5560487141800655,-0.8503776077058759,-0.6386133345589856,-1.0055478802452578,-0.4505378943627421,0.04975353088054536,1.5703084466701642,0.5375228654965639,1.427939710049598,0.5487815695048683,-0.5510258502865374,-0.3004264870594519,-0.4998867015249374,-0.2711772935768647,0.26821767704336547,0.25564065681320813,1.4448729807284082,-0.7313372573805218,-0.9051136385735966,-1.2011113033878005,-1.1194550006869768,-0.7794448790394944,-0.5239086521866781,-0.8554094508341265,-0.9352378943366241,Volatile,4,1,0.902425648855294
26013,MI,Baraga County,0.35071457815068624,-0.29120816645736897,-0.3100540650095799,0.6521327360290724,-0.9502750384121152,0.39017651570945683,-1.125273944372471,0.39372938095327964,0.7077561764285502,0.9347312985642969,-0.0008725183716843786,0.42338486064899,0.6163372403818925,1.03838303778713,-0.3304505434520546,-1.0237685405747623,-0.6786472345403071,0.2360187572153328,0.18933059329499102,0.5236121732384625,-0.5082330170723913,-1.0292705065184566,0.5528056631340418,-1.6143863432625627,-1.942573686898445,-0.8399194663009617,-1.102759090625367,-1.9029510750134184,Volatile,4,1,0.8698492668596562
26015,MI,Barry County,-0.33096431403125426,-0.7412465684844233,-0.4223576051111777,-0.6631062188341087,-0.5488617403784604,0.8230033009093995,-0.09789431594016569,-1.2562700446686854,-1.1143082366668249,0.7249710784325353,-0.5263303644894423,1.5658822431075228,0.5637882481897881,-0.842801623825477,-0.3096209229858692,0.031641123517433596,0.9880337558145982,1.340859870101971,-0.7980951787709177,-0.3107369974998781,-0.30779137247644867,-0.2135294194117026,-1.0857678732480651,0.045824051720598086,0.031289979209306484,0.9040615565404375,0.7480281695704293,0.1854186447525118,Very Stable,1,0,-1.3206554462983608
26017,MI,Bay County,-0.03618425254717184,-0.6758938545435834,-0.4728406806754921,-0.01793398546018199,-0.08267714957244511,0.41427522320013777,-0.38186940966829125,-0.08459477159824373,0.0965640865002377,0.20795414229460144,-0.5046164835365915,0.23299982001139583,1.0719574416844388,-1.0125415812154297,-0.24569954998345866,-0.3824052911004126,-0.9818096864362641,-0.792627326905959,1.1731286524438747,-0.12410613011598963,-0.3158280236354591,-0.8986232329958981,-0.7138220264956843,0.4394423217308969,0.601759584659654,-0.27047224250972973,-0.8252415742478333,-0.3752342833796968,Moderate,3,0,-0.5284348882019946
26019,MI,Benzie County,1.2350547626029322,-0.7154438719750222,-0.260884574477001,-0.8047050892663816,-0.7950540816875,1.0360802480767022,1.1109696971199468,-0.9535650973229476,-0.8238838350977694,1.221149059291153,-1.2839848281512147,1.6230623865426876,0.056693436198966225,0.02107985494494064,0.18454780297943088,0.17499517482155355,0.8105691669044325,1.3764964483147388,-1.1093392545645944,1.3884652349639586,-0.5562038519592858,-0.8115705159083791,-0.9891221045788875,-0.9618557194863273,-0.5239873566004792,0.7229155873311728,0.9724424458090571,0.4330490543226543,Moderate,3,0,-0.2710728595769821
26021,MI,Berrien County,-0.2572692986602327,0.23555714245921866,0.26774663792967085,0.6346804595673803,-0.00246249136147669,0.5055524632305567,0.510610795567546,0.35788809088313955,0.27123607054093246,-0.7644198270531841,0.640847588174081,-0.31221964820056963,0.021235630533547958,-0.3138297978478212,-0.2413376186571226,0.20150688676964806,-0.281674651222397,-0.4316267164249371,0.38428457811786304,-0.21083635965698783,-0.17460216161374573,0.3123362308574487,0.7417969931014425,0.7619245040700984,0.7211807078539614,0.02759356061340638,0.2817455715597776,0.04183800326481004,Moderate,3,0,-0.0550776898505169
26023,MI,Branch County,-0.6441681293580908,-0.6387871871879297,-0.4764864559130675,0.4511517561945047,0.0913317743147881,-0.5231331130199912,-0.870952345199099,0.6857906453753265,-0.1920932725661664,1.18986545408903,0.3225580864393132,0.3154659822710251,0.4153769006603537,0.8819902739861246,-0.2951044804196758,-0.9257330913672979,-0.2930956428362379,-0.2551670464222281,-0.46407039848899617,-0.3783700000792017,-0.26010541505214757,0.07995436968689071,-0.5479643731535433,-0.22699598761216067,-0.16775035051548715,-0.10872606583548804,-0.638314449827845,0.12375166324857644,Moderate,3,0,-0.4183424370005799
26025,MI,Calhoun County,-0.7178631447291111,-0.02502702296067618,0.7329964501234612,1.2241219044689504,-0.08735452494618007,0.25908152777636156,-0.30200675071595706,0.08161937884940092,-0.160166534423118,0.4458173406139169,0.794147146981152,-0.33553128936424437,0.6676806919020531,-0.3376404012660677,-0.21899789169385708,-0.5056439600740111,-0.7500260735198592,-1.0580409067418388,0.7245958164745194,-0.7179705136989575,-0.024363694295669223,0.024839127987315055,0.6190478994823622,0.6514831782981461,0.4353513981077754,-0.1533373639184156,-0.633049259171348,0.16653238211495147,Moderate,3,0,-0.4797164864948596
26027,MI,Cass County,0.2585958089369106,-0.45582720613367433,-0.3043097639172496,0.4705159615969646,-0.37607330989084536,-0.12480803009421798,-0.4122803149483676,-0.4108399224213229,-0.5359895756217696,0.07574118508771818,-0.07575659556913907,0.8306284272872604,0.20554606075136728,0.3969499347593923,-0.12158558489101658,-0.5609406228045929,0.570957867738626,0.5410835296969868,-0.8239514472955205,0.19501131475438627,-0.21948645276485615,-0.48410345499874713,-0.22407661655509467,-0.12261919009608377,-0.03835999016987212,0.4100054540600716,0.20041937224693768,-0.08634290300946709,Volatile,4,1,0.8310671945875697
26029,MI,Charlevoix County,1.161359747231912,-0.727315753362781,-0.3785388028570298,-0.924187540966314,-0.8914611536977198,1.3033152674720523,0.9426671435039068,-1.178052236681907,-1.0015763671519182,0.5393496044118764,-1.1205863319102598,1.070486026521434,-0.2967440391238944,0.08592935230222155,-0.18477486715484973,0.46809540130370275,0.33846283215671513,0.7500276401634047,-0.6739326505596219,1.0310030102694314,-0.5383738565172957,-0.8405737739042082,-1.1068047043646143,-0.6740390523680418,-0.45171706793796135,0.8389523405880412,0.882102123080816,0.0757445882421186,Volatile,4,1,0.5589077498042954
