county_fips,state,county_name,election_year,total_population,median_age,pct_black,pct_asian,pct_two_or_more_races,pct_hispanic,pct_non_hispanic_white,pct_hs_or_higher,pct_bachelors_plus,pct_below_poverty,median_household_income,pct_income_under_25k,pct_income_50k_100k,pct_income_over_100k,unemployment_rate,pct_owner_occupied,median_gross_rent,median_home_value,pct_drive_alone,pct_carpool,pct_public_transit,pct_work_from_home,pct_family_households,pct_married_couple,pct_living_alone,population_density,pct_senior_65plus,pct_young_adult_18_24,pct_foreign_born,dem_votes,rep_votes,total_votes,dem_pct,rep_pct,dem_margin
26001,MI,Alcona County,2016,10461,57.4,0.2485422043781665,0.4110505687792753,1.3096262307618776,1.3861007551859288,96.13803651658542,88.58746492048644,14.452759588400374,14.930015552099537,38160,30.48461693142972,28.252563844761717,7.440176955560024,10.297297297297298,88.41745425296602,592,97500,82.1273964131107,8.379715522572665,0.2164502164502164,5.225726654298083,62.71868087673437,52.78503921174341,33.25960184998994,15.505702914823132,17.321479782047604,2.619252461523755,0.6309148264984227,1732.0,4201.0,6198.0,27.94449822523395,67.77992900935786,-39.83543078412391
26003,MI,Alger County,2016,9396,49.0,7.322264793529161,0.2767134951042997,4.129416773094934,1.3516389953171564,84.514687100894,89.38578329882678,18.09523809523809,13.053835159599808,41270,28.633847946402565,31.284590736964752,10.195164579085349,7.6190476190476195,86.42586658898922,610,118500,72.3047739487828,10.43313310148593,1.8020866266202973,8.662662029718621,64.60821438974658,54.93737256044277,31.25546169531022,10.268470898349133,11.430395913154534,5.119199659429544,0.5214985100042572,1663.0,2585.0,4518.0,36.8083222664896,57.215582115980524,-20.407259849490927
26005,MI,Allegan County,2016,113666,40.0,1.4296271532384357,0.6536695229884046,2.075378741224289,7.08127320394841,88.94480319532666,90.13163059691728,21.419412241907203,11.650338574339536,55630,19.49307551607003,36.60593391453072,18.94909375965033,4.730979936871893,81.14830035394446,757,144600,86.0369054972205,7.493051266213713,0.2509264978381717,3.9723594811612095,73.15723210680096,60.17055847210016,21.842411573271253,137.73473104611554,6.984498442806116,4.017032357961043,1.4542607288019285,18050.0,34183.0,55786.0,32.35578819058545,61.27523034453088,-28.919442153945432
26007,MI,Alpena County,2016,28929,47.3,0.5945590929517093,0.4009817138511528,1.5417055549794323,1.2962770921912268,96.12153894016386,90.39243498817967,16.775413711583926,16.283254533907275,39832,31.85477505919495,27.8689818468824,10.465666929755328,7.847052732786036,76.89029202841357,570,92700,82.64252948885976,9.764089121887288,0.61435124508519,3.808977719528178,62.99131807419101,48.29518547750592,31.681136543015,50.58410663421338,9.692695910677866,3.840436931798541,0.5150540979639808,4877.0,9090.0,14698.0,33.18138522247925,61.84514899986393,-28.66376377738468
26009,MI,Antrim County,2016,23215,50.0,0.34029722162395,0.2670687055782899,1.7919448632349777,1.9556321343958647,95.1798406202886,90.68825910931174,26.685945633314056,12.94863387978142,48825,22.446905802255863,33.00477593740474,15.64881617721776,7.8157844448691005,84.01585204755614,699,145100,75.31206657420249,13.389523098260964,0.4587645364344394,7.8416728902165795,69.86078650543644,58.449344578802965,25.424245503505745,48.80392029078433,12.155933663579582,3.3728192978677582,0.9605858281283652,4448.0,8469.0,13582.0,32.749226917979676,62.35458695332057,-29.605360035340894
26011,MI,Arenac County,2016,15327,48.9,0.4958569844066027,0.3849416063156521,1.063482742872056,1.8986102955568605,95.03490572192862,86.34692805881323,11.38631192018204,19.20705429954253,39240,31.470678538532397,28.9376727049432,9.180227202947496,10.778535980148884,83.06723979121891,585,88400,82.82828282828282,8.63016126174021,0.7265638844586213,3.313840155945419,65.91955787534542,53.16241940435984,29.275406816088424,42.2024461834142,11.013244601030861,3.8233183271351208,0.28055066223005154,2384.0,4950.0,7696.0,30.97713097713098,64.31912681912681,-33.341995841995825
26013,MI,Baraga County,2016,8612,43.1,18.19554110543428,0.4180213655364607,3.413841151881096,1.4166279609846726,73.1421272642824,83.27623793210837,15.64933042665836,15.036519530009526,42810,29.439567859554355,29.74341661039838,11.2424037812289,6.797991502510622,84.23362592842673,536,90900,84.40677966101696,7.88135593220339,0.0,3.898305084745763,61.174881836596896,47.83929777177583,34.23362592842673,9.585642461769291,8.88295401764979,6.200650255457501,0.9057129586623316,1156.0,2158.0,3490.0,33.12320916905444,61.83381088825215,-28.71060171919771
26015,MI,Barry County,2016,59316,42.6,0.615348303998921,0.5074516150785623,1.4397464427810371,2.576033447973565,94.83276013217343,91.69016138440598,18.91648843087692,9.349906689266698,56883,17.21935427421472,38.074197217604336,18.08994662700149,6.228432812873689,81.18383060635226,792,139300,85.6439153636601,7.560547822517447,0.1977833339552935,3.8101279994029182,71.35794907690962,61.04208592177793,23.182255665412548,107.24203766380282,7.876458291186189,4.03432463416279,0.9306089419380943,9114.0,19202.0,30329.0,30.050446767120576,63.312341323485775,-33.2618945563652
26017,MI,Bay County,2016,106107,42.7,1.494717596388551,0.584315832131716,2.560622767583665,5.042080164362389,90.51994684610818,89.42913596069636,18.11385239773577,15.775145668163148,45851,26.122066157295148,31.66033764926568,14.33408061490598,8.153415297833039,77.88580317518415,654,94500,85.78080386558314,8.010103228640457,0.630353613002416,2.965077970568856,63.64780161961843,47.49965686050236,30.1322230864254,239.8391533626124,7.908997521369939,4.323937157774699,0.510805130669984,21642.0,28328.0,52977.0,40.85169035619231,53.472261547463994,-12.620571191271686
26019,MI,Benzie County,2016,17462,48.6,0.4295040659718245,0.3779635780552056,1.706562822128049,2.2735081892108577,94.13011109838506,91.4520716427089,25.62841110000769,11.175583149588023,48694,21.13265448458641,34.56549030548194,14.297670525875295,7.592659229938826,86.45557260426838,734,158100,77.76892430278885,12.96148738379814,1.1553784860557768,5.086321381142098,65.18342865113684,53.22918119681964,29.822848374947693,54.62046875635368,11.373267666933913,3.5620203871263314,0.7330202725919139,4108.0,5539.0,10228.0,40.16425498631209,54.155260070394995,-13.991005084082907
