county_fips,county_name,dem_margin_2016,dem_margin_2020,dem_margin_2024,d_16_20,d_20_24,swing_dir_score,swing_mag_16_20,swing_mag_20_24,z_swing_mag_16_20,z_swing_mag_20_24,vol_z_abs_sum,vol_z_euc
26001,Alcona County,-0.6962848004455298,-0.6334089625368875,-0.7711088615555544,0.06287583790864226,-0.13769989901866686,-86.57996530734106,0.06287583790864226,0.13769989901866686,-0.5910311100953061,0.370535122726645,-0.22049598736866105,0.6975772719022171
26003,Alger County,0.1028938266787889,0.1714663628734409,0.1279392020131628,0.06857253619465199,-0.04352716086027808,-29.847678135418583,0.06857253619465199,0.04352716086027808,-0.5326309584950952,-0.7806492631160666,-1.3132802216111619,0.9450444486642211
26005,Allegan County,-0.2472551498148844,-0.0964207041325878,-0.1770214151287779,0.1508344456822966,-0.0806007109961901,-121.5736356470932,0.1508344456822966,0.0806007109961901,0.31068349205242096,-0.32745555887824296,-0.016772066825821996,0.4513882755169314
26007,Alpena County,-0.2367378090599217,-0.1935994487400849,-0.2355683390751148,0.04313836031983681,-0.0419688903350299,-18.104691134962366,0.04313836031983681,0.0419688903350299,-0.7933714176771205,-0.7996978405777047,-1.5930692582548251,1.1264789579089562
26009,Antrim County,-0.2754704106656353,-0.0346389453271215,-0.0349236261834353,0.24083146533851382,-0.0002846808563138001,-0.6856010777987538,0.24083146533851382,0.0002846808563138001,1.2332950343203049,-1.3092530688369373,-0.07595803451663241,1.7986551197875762
26011,Arenac County,-0.4291770814620477,-0.5267945965896488,-0.7272197394132344,-0.09761751512760108,-0.2004251428235856,195.65004411532973,0.09761751512760108,0.2004251428235856,-0.23487406709102376,1.1372997159463176,0.9024256488552939,1.1612994752790744
26013,Baraga County,-0.2386644897629796,-0.1109868434081423,-0.2835377057760666,0.1276776463548373,-0.17255086236792427,-220.30887983634042,0.1276776463548373,0.17255086236792427,0.07328973809137883,0.7965595287682774,0.8698492668596562,0.7999240392568804
26015,Barry County,-0.4258821117144292,-0.395100058023823,-0.4697161691875729,0.030782053690606215,-0.07461611116374994,-22.968371400267927,0.030782053690606215,0.07461611116374994,-0.9200430692437707,-0.4006123770545903,-1.3206554462983608,1.0034787122369997
26017,Bay County,0.4231995915733633,0.4662444499174646,0.3371046392617889,0.04304485834410132,-0.1291398106556757,-55.58804856257627,0.04304485834410132,0.1291398106556757,-0.7943299605529618,0.2658950723509672,-0.5284348882019946,0.8376516434249955
26019,Benzie County,0.3668267358523367,0.5662880932582468,0.5853056560875566,0.1994613574059101,0.019017562829309775,37.932688964863075,0.1994613574059101,0.019017562829309775,0.8091861112771898,-1.0802589708541719,-0.27107285957698213,1.3497190844004596
26021,Berrien County,0.4197002567648423,0.6387435374945977,0.6184784848133025,0.21904328072975537,-0.020265052681295193,-44.38923623472224,0.21904328072975537,0.020265052681295193,1.0099317420480445,-1.0650094318985615,-0.055077689850516975,1.4677217766419814
26023,Branch County,-0.6238257979109807,-0.6410793815734249,-0.8008546847409338,-0.017253583662444227,-0.15977530316750888,27.566965603930043,0.017253583662444227,0.15977530316750888,-1.0587312463065888,0.6403888093060088,-0.41834243700057994,1.2373397589143698
