county_fips,state,county_name,population_2024,total_votes_2024,dem_margin_2024_pp,p_high_vol,p_high_vol_state_rf,S_persuadability,S_electoral_weight,S_volatility_predicted,S_volatility_predicted_state_rf,PersuasionScore,PersuasionScore_pooled,state_persuasion_pct,persuasion_rank,persuasion_rank_pooled,persuasion_rank_shift_pooled,DPS,DPS_state_rf,state_priority_pct,new_rank,new_rank_state_rf,dps_rank_shift_state_rf,old_priority_score,volatility_class,race_entropy_raw,kmeans_cluster_label
42101,PA,Philadelphia County,1579706,1442882.0,58.80730371575777,0.748985062813004,0.743978602529222,0.8627023097218316,1.0,0.748985062813004,0.743978602529222,0.8376648786950689,0.8401681088369599,1.0,1,1,0,0.7017977460389937,0.7005461309680482,1.0,1,1,0,0.3963815246074622,Highly Volatile,0.9040960526979568,4
42003,PA,Allegheny County,1238177,1441008.0,20.30814540932458,0.5811553959112784,0.8494074867942513,0.5005197604721021,0.9993122518853874,0.5811553959112784,0.8494074867942513,0.799661746486498,0.6655357010450116,0.9848484848484849,2,7,5,0.6112088725115266,0.6782718952322697,0.9696969696969697,3,2,1,0.4368701722987849,Stable,0.5810251266042415,4
42045,PA,Delaware County,579222,656344.0,23.73846641395366,0.8676400518384256,0.8666336162203809,0.556325475901303,0.6553359225506261,0.8676400518384256,0.8666336162203809,0.7362321577231727,0.736735375532195,0.9696969696969697,3,3,0,0.5981448579605555,0.5978932490560444,0.9393939393939394,5,3,2,0.3426039051241291,Volatile,0.7367803008748712,4
42091,PA,Montgomery County,867573,1041812.0,22.804882262826688,0.9103542555311898,0.7499040675870396,0.4180079481688599,0.8409032365407161,0.9103542555311898,0.7499040675870396,0.6896798299709138,0.7699049239429889,0.9545454545454546,4,2,-2,0.6195208163882647,0.5794082694022272,0.9848484848484849,2,4,-2,0.422443840174069,Highly Volatile,0.6557340955292557,4
42077,PA,Lehigh County,378792,379620.0,2.692165850060583,0.8511562125181313,0.7476345929440359,0.5520045192922076,0.4843324032615718,0.8511562125181313,0.7476345929440359,0.6329015271104628,0.6846623368975105,0.9393939393939394,5,6,1,0.5628264581269574,0.5369460532334335,0.9090909090909091,7,6,1,0.4272401872061218,Volatile,0.6994181757902501,0
42029,PA,Chester County,547840,649928.0,14.457601457392208,0.8878436319442504,0.7438038987672119,0.33708402554830996,0.6518372926731473,0.8878436319442504,0.7438038987672119,0.6191322789389703,0.6911521455274895,0.9242424242424242,6,5,-1,0.5587968168073189,0.5227868835130592,0.8939393939393939,8,8,0,0.4023293671857104,Highly Volatile,0.5844714682743328,4
42017,PA,Bucks County,647461,802056.0,-0.0725635117747458,0.8783174812975116,0.6758960037210809,0.3217917164069486,0.7306281406370978,0.8783174812975116,0.6758960037210809,0.601052966121552,0.7022637049097674,0.9090909090909091,7,4,-3,0.6077750037865515,0.5571696343924438,0.9545454545454546,4,5,-1,0.6504797755849017,Highly Volatile,0.5043364496029676,1
42011,PA,Berks County,433015,419676.0,-12.177012743163772,0.7414366476906367,0.6723105503199932,0.4899977318192676,0.5122642318939636,0.7414366476906367,0.6723105503199932,0.5867207660883045,0.6212838147736262,0.8939393939393939,8,9,1,0.5293164999128904,0.5120349755702295,0.8484848484848485,11,10,1,0.3835608552405246,Volatile,0.5954582685481367,0
42095,PA,Northampton County,318580,356430.0,-1.7742614258059035,0.8442210871258082,0.704627577453507,0.44333552419028743,0.4674843339146937,0.8442210871258082,0.704627577453507,0.5800187532529988,0.6498155080891495,0.8787878787878788,9,8,-1,0.5658322167194124,0.5309338393013371,0.9242424242424242,6,7,-1,0.46330469325277,Volatile,0.5996984169726355,1
42089,PA,Monroe County,167515,171050.0,-0.782227418883366,0.6798531570674922,0.7379527526395175,0.5241246011368295,0.3058074462564754,0.6798531570674922,0.7379527526395175,0.576459388168085,0.5474095903820723,0.8636363636363636,10,12,2,0.4764023970077141,0.49092729590072043,0.8181818181818181,13,13,0,0.4924909192339483,Highly Volatile,0.7304380545324657,0
