county_fips,state,county_name,election_year,median_age,pct_black,pct_asian,pct_two_or_more_races,pct_hispanic,pct_non_hispanic_white,pct_hs_or_higher,pct_bachelors_plus,pct_below_poverty,pct_income_under_25k,pct_income_50k_100k,pct_income_over_100k,unemployment_rate,pct_owner_occupied,pct_drive_alone,pct_carpool,pct_public_transit,pct_work_from_home,pct_family_households,pct_married_couple,pct_living_alone,pct_senior_65plus,pct_young_adult_18_24,pct_foreign_born,dem_votes,rep_votes,total_votes,dem_pct,rep_pct,dem_margin,log_total_population,log_population_density,log_median_household_income,log_median_home_value,log_median_gross_rent,race_entropy_norm
26001,MI,Alcona County,2016,2.6144675281158696,-0.7520449041158853,-0.5255978489507537,-0.9996266104397474,-0.9509260603439468,1.024263809168679,-0.0402270031310207,-0.946444398409166,0.0380562463082134,1.1813339276273362,-0.8969560607429022,-1.5023941089305566,1.6396962470884655,1.90265320386817,0.5542912541605314,-0.4778757511264667,-0.294662882122626,-0.3530067237151049,-0.5656046190408399,0.5953420294590783,1.114152700047483,3.11174324194278,-1.059026573614517,-0.8055177732530011,1732.0,4201.0,6198.0,-0.7808451248784835,0.6091616887899424,-0.6962848004455298,-1.431675621478553,-1.5637598724671733,-1.3964490109749317,-1.1953951472481352,-1.3003732943555824,0.13385068009483012
26003,MI,Alger County,2016,1.0226526347967777,-0.2319630567363574,-0.6095485134515254,0.1358560304209672,-0.9586918650040904,0.3285914941735232,0.1410027723057806,-0.5641291920632567,-0.3683808834882509,0.9102352426355236,0.0631826738006367,-1.2172330171640338,0.5058732601921734,1.638636425657604,-1.3933228242068263,0.4653073111503664,0.6119046754270264,0.5041406504794768,-0.1332565948616084,0.983313546521166,0.5655929628732692,0.8035179945502805,0.2960286505918988,-0.862572147429134,1663.0,2585.0,4518.0,-0.0516021734960807,-0.2563035100763618,0.1028938266787889,-1.5198423880358622,-1.8769406087481268,-1.075047557570183,-0.6901447789622724,-1.1682180019431254,0.39690573083639885
26005,MI,Allegan County,2016,-0.6828633223308211,-0.665207905014804,-0.3739790748540474,-0.6912708408278069,0.332455778289296,0.5937396032848883,0.3103208564316853,-0.2152232692341121,-0.6724204769477624,-0.4286954427823581,1.7482692136722475,-0.3111382016880739,-0.716775080758309,0.9390106650786744,1.3294625446554378,-0.8851415294620343,-0.2749515044002132,-0.6655876319972412,1.822861618013836,1.9266279631474648,-2.0108836816848483,-0.9384590366314048,-0.3013829911641691,-0.376189801963501,18050.0,34183.0,55786.0,-0.4179202632427148,0.0762759003604668,-0.2472551498148844,0.5273924279278216,0.1829572645005685,0.149829110100173,-0.1745384454871214,-0.2154271016074866,0.29873192099518414
26007,MI,Alpena County,2016,0.700499620672675,-0.7266046779314651,-0.5318901332685058,-0.906172135720613,-0.9711674242014998,1.0232764081390329,0.3695272113695214,-0.7026581993394514,0.3312085305413014,1.382033242167961,-1.0184232993695144,-1.1892340726374675,0.6023980320183273,0.3745436019238141,0.6564310273428045,0.157999651979703,-0.0671680028662839,-0.7063338877972656,-0.5032219447847844,-0.2139821236567206,0.6821058135505833,0.1226580530902519,-0.397103634781329,-0.8659325410858764,4877.0,9090.0,14698.0,-0.349996891412615,0.1229654654943647,-0.2367378090599217,-0.5963764200374606,-0.6287995339680903,-1.2205341615762455,-1.3261595529840364,-1.4674545015536384,0.13912159762316997
26009,MI,Antrim County,2016,1.2121544078109552,-0.745298792959545,-0.6155757884808865,-0.8054049381861217,-0.8225846913712479,0.9669145603802216,0.4366835496126807,0.3375530330786137,-0.3911706463443333,0.0039784958627829,0.6079062202105191,-0.6527407375770709,0.5891607659452543,1.3191504767442404,-0.7970415890979409,1.82324687448,-0.1561227352021608,0.2993917657029221,1.0685951640189233,1.6163684181869262,-1.0304882363946897,1.0877958270745234,-0.6505680752782157,-0.6336131315625799,4448.0,8469.0,13582.0,-0.3855513424002318,0.1647002574458472,-0.2754704106656353,-0.7770781775635996,-0.6576152465195025,-0.38543359310826,-0.1655973629006102,-0.5672352534065737,0.1555269931695244
26011,MI,Arenac County,2016,1.0037024574953597,-0.7338615606131699,-0.541914005677154,-1.09874448939701,-0.8354343097155267,0.9582400215136916,-0.5488611562656015,-1.2682993032007994,0.9645915408290716,1.3257711897432924,-0.6800056254645178,-1.3222863567081775,1.8434261253115505,1.1933967596374009,0.6932619062937093,-0.362840123873659,-0.0030118459122064,-0.8298176941921225,0.1667945876734647,0.6633671641005384,0.0236256849859556,0.6400711294137813,-0.4063824926306962,-0.9882127200998152,2384.0,4950.0,7696.0,-0.5313449037370174,0.3256416675302358,-0.4291770814620477,-1.1180212158060416,-0.7742868321428807,-1.2819608343336597,-1.4491858649764169,-1.3528534990990355,0.16355075551934428
26013,MI,Baraga County,2016,-0.0954078259868702,0.5674736698376768,-0.5212416202206162,-0.152294342421678,-0.9440468899836462,-0.3520707440515418,-1.2459520628480838,-0.8208521056674698,0.0611282127708671,1.028256244010778,-0.424854216438657,-1.1088362056234349,0.1582834495700949,1.3480198855309258,1.0062437668157844,-0.706784049850725,-0.4184155550555832,-0.6840562746982399,-0.9188444320088552,-0.2961587274383504,1.3807560068177267,-0.1946123716660665,0.8822111432047088,-0.6622262061655815,1156.0,2158.0,3490.0,-0.3547831413090285,0.1220366110067288,-0.2386644897629796,-1.5913863067693068,-1.9282297853683943,-0.9247585778947424,-1.3769497826027737,-1.738774439599862,0.5536052831518619
26015,MI,Barry County,2016,-0.190158712493959,-0.7250761911763328,-0.4653543757679494,-0.9472293703771484,-0.682780008427391,0.9461413496625976,0.6641298032019224,-0.4779306075164969,-1.170763246331229,-0.7617477273687466,2.2132177513699185,-0.4000661272591956,-0.0828362413763154,0.94372076794755,1.2515410812619978,-0.8541387712693298,-0.3053354360334393,-0.7060470161320974,1.4111639912950475,2.083726224444706,-1.644150586036202,-0.5889742410468993,-0.2920099975164531,-0.649244369536363,9114.0,19202.0,30329.0,-0.6075849018644764,0.2431625689172483,-0.4258821117144292,-0.0067180777291941,-0.0206845819708686,0.2412024458770265,-0.2712612858203245,-0.0159301959796904,0.17181740921075092
26017,MI,Bay County,2016,-0.171208535192541,-0.6604222553807366,-0.4173199655979306,-0.4958711612272957,-0.1270673241306643,0.6880139635230661,0.1508444512503951,-0.5621754314886849,0.2211368605447768,0.5423121006754739,0.1821688100426955,-0.7888253519439978,0.732095020837463,0.5065145165850612,1.2786831173608235,-0.6476473839526754,-0.0580188514563623,-0.9167965165324486,-0.3530106032991001,-0.3573811211176318,0.2581476603902931,-0.5762248261153887,-0.1350302967273043,-0.8681481354105745,21642.0,28328.0,52977.0,0.2810530851751568,-0.5629683434966298,0.4231995915733633,0.470878795989764,0.6355140789779127,-0.6432411648889486,-1.2763461089114931,-0.8608914316936913,0.27102617571685067
26019,MI,Benzie County,2016,0.9468519255911068,-0.7387400313142274,-0.546274753558167,-0.8397868626811086,-0.7509527330142023,0.9040869071363518,0.6100800010274161,0.2265540161839447,-0.7752667879755725,-0.188531648218607,1.102130833522167,-0.7925940587979402,0.4947018737446381,1.642574432801019,-0.3098997165361267,1.6266399884395295,0.242157477596114,-0.3877734128676207,-0.0016406443218697,0.6754013937973767,0.1734676992507083,0.7811341916372062,-0.548014739495707,-0.752275601395117,4108.0,5539.0,10228.0,0.2244965249723789,-0.5070149127318344,0.3668267358523367,-1.0109299969198071,-0.5669853585747239,-0.3964549303153182,0.0566562308522154,-0.3516056091496406,0.18211312335663543
